0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2725128.275,863279.7041,5280897,1866014.5,2858596.852,830936481.5,2511751.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.486812356,36962.43393,131401.4325,169292.6304,-0.924498618,6.58E-13,6.13E-05,0.997262292,0.034936631,2.09E-05
2813170.575,1050720.053,5928722,1963719,3002988.73,857614391.5,2320362,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.11085241,80031.02216,170135.0572,83491.25692,-0.924498618,5.45E-13,3.75E-05,0.994408363,0.034936631,2.09E-05
3595423.307,679300.7263,4561448,2430029.5,3659032.418,1097230707,3716349.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.349328192,-88813.87261,17476.78467,83463.0862,-0.924498618,-1.28E-12,0.00047324,0.98941728,0.034936631,2.09E-05
4727269.222,883533.3342,5851468,3351230.5,4809127.307,1442293149,4980638.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.232321845,-26388.41729,-132117.2616,-29142.61473,-0.924498618,-9.07E-13,0.000422306,0.993387008,0.034936631,2.09E-05
3915693.137,780925.6246,5007052,2624657,3992805.727,1195051633,4071554.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.392051588,-82065.38803,-72684.57078,91385.00086,-0.924498618,-9.72E-13,0.000271659,0.984529562,0.034936631,2.09E-05
4024206.804,842845.5044,5167409,2624985,4111523.92,1228185054,4221961,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.460862249,-86829.84597,-93539.66028,79087.95093,-0.924498618,-8.09E-13,0.000166492,0.985395361,0.034936631,2.09E-05
3164599.562,701048.2389,5281254,2615251.5,3241320.568,965016271.5,2837444,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.085263406,33656.66162,66688.25247,56083.2967,-0.924498618,9.76E-13,0.000338025,0.995559133,0.034936631,2.09E-05
2980275.745,1061543.411,6043912,2027005,3163687.395,908484540.5,2583089,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.32661878,58806.45755,153614.8655,38615.85744,-0.924498618,4.94E-13,3.41E-05,0.994588252,0.034936631,2.09E-05
3016356.49,1027630.41,5962920,2096945,3186601.753,919469120.5,2641873.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.352597453,34910.89793,152190.7318,58268.05725,-0.924498618,5.27E-13,4.18E-05,0.994454893,0.034936631,2.09E-05
2815326.778,1066620.925,5950011,1936102,3010605.431,858230284.5,2340213,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.156189634,38407.79008,162288.8391,73363.55336,-0.924498618,5.23E-13,3.45E-05,0.994241154,0.034936631,2.09E-05
2990425.529,1108363.342,6224215,1970536.5,3189218.422,911490255.5,2594521,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.412194384,41228.54283,172601.8581,34611.63348,-0.924498618,4.56E-13,3.04E-05,0.993546306,0.034936631,2.09E-05
3484333.261,644362.3333,4387269,2518008.5,3543413.763,1063269880,3576154.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.313265286,-137602.2299,14405.65823,97398.79298,-0.924498618,-1.37E-12,0.000552566,0.992225613,0.034936631,2.09E-05
4073311.098,329863.163,5074236,3782637.5,4086645.691,1242485565,4110132.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,1.207180294,-64931.95261,-78687.76145,40955.19872,-0.924498618,-2.85E-11,0.20620227,0.999596041,0.034936631,2.09E-05
2992185.183,1054072.393,6058252,2030524,3172418.758,912065593.5,2604037.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.335170161,54308.45072,126135.6455,54896.4783,-0.924498618,4.99E-13,3.67E-05,0.994453347,0.034936631,2.09E-05
2730329.954,838461.3477,5206071,1879308,2856172.105,832527897.5,2551532.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.509928907,16688.68952,97395.6479,144767.4753,-0.924498618,6.77E-13,6.82E-05,0.998005792,0.034936631,2.09E-05
4255909.314,338097.415,4968898,3967921.5,4269317.738,1298172836,4294550.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,1.213313756,33675.12266,-34324.98869,-28313.66539,-0.924498618,-2.92E-11,0.224276175,1.00139817,0.034936631,2.09E-05
